username,story_link_url,origin
acheimeumeme,mercadolivre.com,Mercado Livre
acheimeumeme,mercadolivre.com,Mercado Livre
acheimeumeme,mercadolivre.com,Mercado Livre
acordeipravida,mercadolivre.com,Mercado Livre
acordeipravida,mercadolivre.com,Mercado Livre
acordeipravida,mercadolivre.com,Mercado Livre
acordeipravida,mercadolivre.com,Mercado Livre
acordeipravida,mercadolivre.com,Mercado Livre
acordeipravida,mercadolivre.com,Mercado Livre
alvorada_mental,mercadolivre.com,Mercado Livre
alvorada_mental,mercadolivre.com,Mercado Livre
alvorada_mental,mercadolivre.com,Mercado Livre
apnas.existindo,mercadolivre.com,Mercado Livre
apnas.existindo,mercadolivre.com,Mercado Livre
apnas.existindo,mercadolivre.com,Mercado Livre
aquella_musica,mercadolivre.com,Mercado Livre
aquella_musica,mercadolivre.com,Mercado Livre
aquella_musica,mercadolivre.com,Mercado Livre
bemironico,mercadolivre.com,Mercado Livre
bemironico,mercadolivre.com,Mercado Livre
bemironico,mercadolivre.com,Mercado Livre
bemironico,mercadolivre.com,Mercado Livre
bemironico,mercadolivre.com,Mercado Livre
bemironico,mercadolivre.com,Mercado Livre
bilhetesdiariamente_,mercadolivre.com,Mercado Livre
bilhetessincero,mercadolivre.com,Mercado Livre
bilhetessincero,mercadolivre.com,Mercado Livre
bilhetessincero,mercadolivre.com,Mercado Livre
cachorros_sincero,mercadolivre.com,Mercado Livre
cachorros_sincero,mercadolivre.com,Mercado Livre
cachorros_sincero,mercadolivre.com,Mercado Livre
churrasco_dicas_e_receitas,mercadolivre.com,Mercado Livre
churrasco_dicas_e_receitas,mercadolivre.com,Mercado Livre
churrasco_dicas_e_receitas,mercadolivre.com,Mercado Livre
citouemfrases,mercadolivre.com,Mercado Livre
citouemfrases,mercadolivre.com,Mercado Livre
citouemfrases,mercadolivre.com,Mercado Livre
citouemfrases,mercadolivre.com,Mercado Livre
citouemfrases,mercadolivre.com,Mercado Livre
conectadoscomjesus_,mercadolivre.com,Mercado Livre
dediqueiumverso,mercadolivre.com,Mercado Livre
dediqueiumverso,mercadolivre.com,Mercado Livre
dediqueiumverso,mercadolivre.com,Mercado Livre
