username,story_link_url,origin
acheimeumeme,mercadolivre.com/sec/1j9sdyw,Mercado Livre
acheimeumeme,mercadolivre.com/sec/27zm54s,Mercado Livre
acheimeumeme,mercadolivre.com/sec/2ks4zgn,Mercado Livre
acordeipravida,mercadolivre.com/sec/32ezquv,Mercado Livre
acordeipravida,mercadolivre.com/sec/1r5bao9,Mercado Livre
acordeipravida,mercadolivre.com/sec/1pamd6g,Mercado Livre
acordeipravida,mercadolivre.com/sec/1kdcnne,Mercado Livre
acordeipravida,mercadolivre.com/sec/1aw7zvz,Mercado Livre
acordeipravida,mercadolivre.com/sec/33ckxgn,Mercado Livre
alvorada_mental,mercadolivre.com/sec/2ks4zgn,Mercado Livre
alvorada_mental,mercadolivre.com/sec/1j9sdyw,Mercado Livre
alvorada_mental,mercadolivre.com/sec/27zm54s,Mercado Livre
apnas.existindo,mercadolivre.com/sec/1j9sdyw,Mercado Livre
apnas.existindo,mercadolivre.com/sec/2ks4zgn,Mercado Livre
apnas.existindo,mercadolivre.com/sec/27zm54s,Mercado Livre
apnas.existindo,mercadolivre.com/sec/2i8vymy,Mercado Livre
aquella_musica,mercadolivre.com/sec/2ks4zgn,Mercado Livre
aquella_musica,mercadolivre.com/sec/1j9sdyw,Mercado Livre
aquella_musica,mercadolivre.com/sec/27zm54s,Mercado Livre
bemironico,mercadolivre.com/sec/2ylsrka,Mercado Livre
bemironico,mercadolivre.com/sec/1j9sdyw,Mercado Livre
bemironico,mercadolivre.com/sec/27zm54s,Mercado Livre
bemironico,mercadolivre.com/sec/1gebmvl,Mercado Livre
bemironico,mercadolivre.com/sec/1sxcnqa,Mercado Livre
bemironico,mercadolivre.com/sec/1efrguh,Mercado Livre
bilhetesdiariamente_,mercadolivre.com/sec/2ks4zgn,Mercado Livre
bilhetesdiariamente_,mercadolivre.com/sec/1j9sdyw,Mercado Livre
bilhetesdiariamente_,mercadolivre.com/sec/27zm54s,Mercado Livre
bilhetessincero,mercadolivre.com/sec/1ptidkm,Mercado Livre
bilhetessincero,mercadolivre.com/sec/1vtxjx3,Mercado Livre
bilhetessincero,mercadolivre.com/sec/2qxnrmt,Mercado Livre
cachorros_sincero,mercadolivre.com/sec/1j9sdyw,Mercado Livre
cachorros_sincero,mercadolivre.com/sec/2ks4zgn,Mercado Livre
cachorros_sincero,mercadolivre.com/sec/27zm54s,Mercado Livre
churrasco_dicas_e_receitas,s.shopee.com.br/9agzqrzvi4,Shopee
churrasco_dicas_e_receitas,mercadolivre.com/sec/2nnkuwa,Mercado Livre
churrasco_dicas_e_receitas,mercadolivre.com/sec/1efrguh,Mercado Livre
citouemfrases,mercadolivre.com/sec/2ylsrka,Mercado Livre
citouemfrases,mercadolivre.com/sec/1cztfwr,Mercado Livre
citouemfrases,mercadolivre.com/sec/1j9sdyw,Mercado Livre
citouemfrases,mercadolivre.com/sec/27zm54s,Mercado Livre
conectadoscomjesus_,mercadolivre.com/sec/2ks4zgn,Mercado Livre
dediqueiumverso,mercadolivre.com/sec/1j9sdyw,Mercado Livre
dediqueiumverso,mercadolivre.com/sec/2ks4zgn,Mercado Livre
dediqueiumverso,mercadolivre.com/sec/27zm54s,Mercado Livre
despertei,mercadolivre.com/sec/1yo5uqb,Mercado Livre
despertei,mercadolivre.com/sec/2fryci4,Mercado Livre
despertei,mercadolivre.com/sec/1d37eq8,Mercado Livre
despertei,mercadolivre.com/sec/1ougwod,Mercado Livre
