username,story_link_url,origin
acheimeumeme,s.shopee.com.br,Shopee
acheimeumeme,s.shopee.com.br,Shopee
acheimeumeme,s.shopee.com.br,Shopee
acheimeumeme,s.shopee.com.br,Shopee
acheimeumeme,s.shopee.com.br,Shopee
acordeipravida,mercadolivre.com,Mercado Livre
acordeipravida,mercadolivre.com,Mercado Livre
alvorada_mental,s.shopee.com.br,Shopee
apnas.existindo,s.shopee.com.br,Shopee
apnas.existindo,s.shopee.com.br,Shopee
apnas.existindo,s.shopee.com.br,Shopee
apnas.existindo,s.shopee.com.br,Shopee
apnas.existindo,s.shopee.com.br,Shopee
aquella_musica,s.shopee.com.br,Shopee
aquella_musica,s.shopee.com.br,Shopee
aquella_musica,s.shopee.com.br,Shopee
aquella_musica,s.shopee.com.br,Shopee
aquella_musica,s.shopee.com.br,Shopee
bemironico,s.shopee.com.br,Shopee
bilhetesdiariamente_,s.shopee.com.br,Shopee
bilhetesdiariamente_,s.shopee.com.br,Shopee
bilhetesdiariamente_,s.shopee.com.br,Shopee
bilhetesdiariamente_,s.shopee.com.br,Shopee
bilhetesdiariamente_,s.shopee.com.br,Shopee
bilhetessincero,s.shopee.com.br,Shopee
bilhetessincero,s.shopee.com.br,Shopee
bilhetessincero,s.shopee.com.br,Shopee
cachorros_sincero,s.shopee.com.br,Shopee
churrasco_dicas_e_receitas,s.shopee.com.br,Shopee
churrasco_dicas_e_receitas,s.shopee.com.br,Shopee
churrasco_dicas_e_receitas,s.shopee.com.br,Shopee
churrasco_dicas_e_receitas,s.shopee.com.br,Shopee
churrasco_dicas_e_receitas,s.shopee.com.br,Shopee
citouemfrases,s.shopee.com.br,Shopee
conectadoscomjesus_,s.shopee.com.br,Shopee
conectadoscomjesus_,s.shopee.com.br,Shopee
dediqueiumverso,s.shopee.com.br,Shopee
despertei,mercadolivre.com,Mercado Livre
deus24hr,s.shopee.com.br,Shopee
deusfalandocomvoce,s.shopee.com.br,Shopee
deusfalandocomvoce,s.shopee.com.br,Shopee
deusfalandocomvoce,s.shopee.com.br,Shopee
deusfalandocomvoce,s.shopee.com.br,Shopee
deusfalandocomvoce,s.shopee.com.br,Shopee
deusfalandocontigo,s.shopee.com.br,Shopee
deusfalandocontigo,s.shopee.com.br,Shopee
deusfalandocontigo,s.shopee.com.br,Shopee
deusfalandocontigo,s.shopee.com.br,Shopee
deusfalandocontigo,s.shopee.com.br,Shopee
deuspodemudartudo,s.shopee.com.br,Shopee
deuspodemudartudo,s.shopee.com.br,Shopee
deuspodemudartudo,s.shopee.com.br,Shopee
deuspodemudartudo,s.shopee.com.br,Shopee
deuspodemudartudo,s.shopee.com.br,Shopee
espetacular,mercadolivre.com,Mercado Livre
espetacular,mercadolivre.com,Mercado Livre
espetacular,mercadolivre.com,Mercado Livre
espetacular,mercadolivre.com,Mercado Livre
espetacular,mercadolivre.com,Mercado Livre
espetacular,mercadolivre.com,Mercado Livre
expressandofe,s.shopee.com.br,Shopee
expressandofe,s.shopee.com.br,Shopee
expressandofe,s.shopee.com.br,Shopee
expressandofe,s.shopee.com.br,Shopee
expressandofe,s.shopee.com.br,Shopee
fuzuera,s.shopee.com.br,Shopee
fuzuera,s.shopee.com.br,Shopee
fuzuera,s.shopee.com.br,Shopee
fuzuera,s.shopee.com.br,Shopee
fuzuera,s.shopee.com.br,Shopee
ig.apaixonados,s.shopee.com.br,Shopee
ig.apaixonados,s.shopee.com.br,Shopee
linguagem.secreta,s.shopee.com.br,Shopee
linguagem.secreta,s.shopee.com.br,Shopee
linguagem.secreta,s.shopee.com.br,Shopee
linguagem.secreta,s.shopee.com.br,Shopee
linguagem.secreta,s.shopee.com.br,Shopee
megaincrivel,mercadolivre.com,Mercado Livre
memimeinashopy,s.shopee.com.br,Shopee
memimeinashopy,s.shopee.com.br,Shopee
memimeinashopy,s.shopee.com.br,Shopee
mentesapiente,s.shopee.com.br,Shopee
motivei,mercadolivre.com,Mercado Livre
musicaboa,s.shopee.com.br,Shopee
musicaboa,s.shopee.com.br,Shopee
musicaboa,s.shopee.com.br,Shopee
musicaboa,s.shopee.com.br,Shopee
musicaboa,s.shopee.com.br,Shopee
musoironico,s.shopee.com.br,Shopee
musoironico,s.shopee.com.br,Shopee
